,reflection_BB,emission_BB,reflection_depth,emission_depth
0,38313384.48085054,7.711433574089141e-13,74.0350546098592,1.4901226125385548e-18
1,38504582.80399445,8.463474975287329e-13,74.0350546098592,1.627322740189699e-18
2,38695562.88121974,9.285858054091198e-13,74.0350546098592,1.776635244315569e-18
3,38886318.801215924,1.0184877466713585e-12,74.0350546098592,1.9390829029033395e-18
4,39076844.695756875,1.1167365249761492e-12,74.0350546098592,2.1157708677643333e-18
5,39267134.73985757,1.2240734441791147e-12,74.0350546098592,2.307892971734762e-18
6,39457183.15192417,1.3413026058598947e-12,74.0350546098592,2.516738493237856e-18
7,39646984.19389698,1.4692959665310954e-12,74.0350546098592,2.743699409472874e-18
8,39836532.17138579,1.6089987804846261e-12,74.0350546098592,2.9902781715005958e-18
9,40025821.43379896,1.761435455988656e-12,74.0350546098592,3.2580960366185543e-18
10,40214846.3744655,1.927715854413974e-12,74.0350546098592,3.548901995668182e-18
11,40403601.43075002,2.1090420638511657e-12,74.0350546098592,3.864582335298339e-18
12,40592081.08416147,2.3067156808870364e-12,74.0350546098592,4.207170877733729e-18
13,40780279.86045516,2.522145636445237e-12,74.0350546098592,4.578859943266635e-18
14,40968192.32972786,2.7568566039706346e-12,74.0350546098592,4.9820120835161275e-18
15,41155813.10650696,3.0124980307595657e-12,74.0350546098592,5.419172636492399e-18
16,41343136.8498333,3.29085383591197e-12,74.0350546098592,5.893083157665374e-18
17,41530158.26333705,3.5938528212207726e-12,74.0350546098592,6.40669578458517e-18
18,41716872.09530818,3.923579844323504e-12,74.0350546098592,6.963188596138862e-18
19,41903273.13876046,4.2822878066339015e-12,74.0350546098592,7.565982031270347e-18
20,42089356.231489435,4.672410511953719e-12,74.0350546098592,8.218756435941154e-18
21,42275116.25612434,5.096576455252669e-12,74.0350546098592,8.925470811290586e-18
22,42460548.14017454,5.5576236049022855e-12,74.0350546098592,9.69038284036368e-18
23,42645646.85606969,6.058615245673742e-12,74.0350546098592,1.0518070275436321e-17
24,42830407.421194345,6.6028569540738216e-12,74.0350546098592,1.1413453772892276e-17
25,43014824.897917464,7.193914782101281e-12,74.0350546098592,1.2381821267795681e-17
26,43198894.393615164,7.835634730283812e-12,74.0350546098592,1.3428853985791186e-17
27,43382611.06068936,8.532163595908571e-12,74.0350546098592,1.4560654195748316e-17
28,43565970.09658007,9.28797128770294e-12,74.0350546098592,1.5783774812669003e-17
29,43748966.74377263,1.0107874703878583e-11,74.0350546098592,1.710525096681937e-17
30,43931596.28980003,1.0997063276426445e-11,74.0350546098592,1.8532633661830797e-17
31,44113854.06723954,1.1961126290871683e-11,74.0350546098592,2.0074025651677123e-17
32,44295735.45370446,1.300608209737448e-11,74.0350546098592,2.1738119673976508e-17
33,44477235.87183126,1.4138409336118968e-11,74.0350546098592,2.353423918501736e-17
34,44658350.78926104,1.5365080307384165e-11,74.0350546098592,2.5472381750281868e-17
35,44839075.71861652,1.6693596624565462e-11,74.0350546098592,2.756326525306884e-17
36,45019406.217474654,1.8132027296720643e-11,74.0350546098592,2.981837709310134e-17
37,45199337.888333656,1.9689049395988742e-11,74.0350546098592,3.2250026556793474e-17
38,45378866.37857609,2.1373991474486606e-11,74.0350546098592,3.487140055114648e-17
39,45557987.38042703,2.3196879905053124e-11,74.0350546098592,3.7696622904083515e-17
40,45736696.63090799,2.5168488330513127e-11,74.0350546098592,4.0740817445436726e-17
41,45914989.911786355,2.7300390416994495e-11,74.0350546098592,4.40201750947968e-17
42,46092863.04952019,2.960501611828656e-11,74.0350546098592,4.7552025195057257e-17
43,46270311.915199295,3.209571167029585e-11,74.0350546098592,5.135491134374848e-17
44,46447332.42448143,3.4786803547381174e-11,74.0350546098592,5.544867198821834e-17
45,46623920.537525326,3.769366662574943e-11,74.0350546098592,5.985452606537294e-17
46,46800072.25891855,4.0832796813206716e-11,74.0350546098592,6.459516398210152e-17
47,46975783.637601994,4.422188841943038e-11,74.0350546098592,6.969484424870698e-17
48,47151050.76679077,4.7879916556581455e-11,74.0350546098592,7.51794960946801e-17
49,47325869.78389022,5.182722487653143e-11,74.0350546098592,8.107682841399332e-17
50,47500236.870409496,5.608561896834863e-11,74.0350546098592,8.74164454058995e-17
51,47674148.25187003,6.067846575788697e-11,74.0350546098592,9.422996929685934e-17
52,47847600.19771145,6.563079927054705e-11,74.0350546098592,1.0155117054995086e-16
53,48020589.02119349,7.096943313842087e-11,74.0350546098592,1.0941610598976266e-16
54,48193111.07929425,7.672308025427175e-11,74.0350546098592,1.1786326529357568e-16
55,48365162.77260515,8.292247999708303e-11,74.0350546098592,1.2693372632349185e-16
56,48536740.54522289,8.960053347735925e-11,74.0350546098592,1.366713197992382e-16
57,48707840.88463709,9.679244727496514e-11,74.0350546098592,1.4712280383760959e-16
58,48878460.321616195,1.045358861681909e-10,74.0350546098592,1.583380489120966e-16
59,49048595.430088446,1.1287113537986363e-10,74.0350546098592,1.7037023381507149e-16
60,49218242.82702103,1.2184127289485616e-10,74.0350546098592,1.8327605323514565e-16
61,49387399.17229579,1.3149235243333613e-10,74.0350546098592,1.9711593759409454e-16
62,49556061.16858188,1.418735976954608e-10,74.0350546098592,2.1195428582084e-16
63,49724225.561205186,1.5303760852624707e-10,74.0350546098592,2.2785971177483214e-16
64,49891889.13801543,1.6504057968396516e-10,74.0350546098592,2.4490530506761265e-16
65,50059048.72925032,1.7794253293166352e-10,74.0350546098592,2.631689070694347e-16
66,50225701.20739664,1.918075632095044e-10,74.0350546098592,2.827334029277505e-16
67,50391843.4870486,2.067040996855304e-10,74.0350546098592,3.0368703046621414e-16
68,50557472.524764426,2.227051825242926e-10,74.0350546098592,3.261237068765334e-16
69,50722585.31891905,2.3988875625659196e-10,74.0350546098592,3.501433741612459e-16
70,50887178.90955531,2.5833798067959387e-10,74.0350546098592,3.758523643334274e-16
71,51051250.37823235,2.7814156026465163e-10,74.0350546098592,4.0336378542934196e-16
72,51214796.847871326,2.9939409310056716e-10,74.0350546098592,4.327979294423589e-16
73,51377815.48259923,3.2219644045292626e-10,74.0350546098592,4.64282703341358e-16
74,51540303.487590045,3.4665611807521115e-10,74.0350546098592,4.979540843937724e-16
75,51702258.1089041,3.728877104654956e-10,74.0350546098592,5.339566010735598e-16
76,51863676.63332457,4.010133093228329e-10,74.0350546098592,5.72443840896537e-16
77,52024556.38819241,4.3116297752097814e-10,74.0350546098592,6.1357898659103215e-16
78,52184894.74123902,4.6347523998330334e-10,74.0350546098592,6.575353820799287e-16
79,52344689.100416884,4.98097602912032e-10,74.0350546098592,7.044971298213052e-16
80,52503936.91372805,5.351871028974922e-10,74.0350546098592,7.546597211293723e-16
81,52662635.66905106,5.749108875088566e-10,74.0350546098592,8.082307011750023e-16
82,52820782.8939657,6.174468290470274e-10,74.0350546098592,8.654303704461627e-16
83,52978376.155575894,6.629841732231645e-10,74.0350546098592,9.264925245332063e-16
84,53135413.06033103,7.117242246128465e-10,74.0350546098592,9.916652341921874e-16
85,53291891.25384572,7.638810708262928e-10,74.0350546098592,1.0612116677315554e-15
86,53447808.4207171,8.196823474293846e-10,74.0350546098592,1.1354109578635155e-15
87,53603162.284341276,8.793700457489561e-10,74.0350546098592,1.2145591152616905e-15
88,53757950.606728226,9.432013657986654e-10,74.0350546098592,1.298969991171096e-15
89,53912171.18831434,1.0114496166692417e-09,74.0350546098592,1.3889762915254202e-15
90,54065821.86777425,1.084405166839156e-09,74.0350546098592,1.4849306451402227e-15
91,54218900.521830805,1.1623764469786415e-09,74.0350546098592,1.5872067286688676e-15
92,54371405.06506427,1.2456910079423258e-09,74.0350546098592,1.696200451131594e-15
93,54523333.449719,1.3346966367729896e-09,74.0350546098592,1.812331200956551e-15
94,54674683.66550982,1.429762533671783e-09,74.0350546098592,1.936043158605334e-15
95,54825453.73942683,1.5312805530289283e-09,74.0350546098592,2.067806677995353e-15
96,54975641.73553907,1.6396665117533966e-09,74.0350546098592,2.20811974007655e-15
97,55125245.75479649,1.7553615682902011e-09,74.0350546098592,2.3575094820707512e-15
98,55274263.93483133,1.8788336758716558e-09,74.0350546098592,2.5165338060403608e-15
99,55422694.44975859,2.0105791137116345e-09,74.0350546098592,2.6857830706159677e-15
100,55570535.50997446,2.151124100022525e-09,74.0350546098592,2.865881869883479e-15
101,55717785.36195469,2.301026490912469e-09,74.0350546098592,3.0574909036093977e-15
