,reflection_BB,emission_BB,reflection_depth_ppm,emission_depth_ppm
0,6385564.080141758,6.794907662352673e-11,12.339175768309868,1.3130172827792507e-16
1,6417430.467332409,7.40219971472587e-11,12.339175768309868,1.4232650251075112e-16
2,6449260.48020329,8.06136384332014e-11,12.339175768309868,1.542356456222555e-16
3,6481053.133535988,8.776621874623212e-11,12.339175768309868,1.6709673216933477e-16
4,6512807.4492928125,9.552521915830485e-11,12.339175768309868,1.8098223825558256e-16
5,6544522.4566429285,1.0393962201284654e-10,12.339175768309868,1.9596987768089772e-16
6,6576197.191987363,1.1306216578934616e-10,12.339175768309868,2.1214295978234316e-16
7,6607830.69898283,1.2294961742307083e-10,12.339175768309868,2.295907702755243e-16
8,6639422.0285642985,1.336630631978255e-10,12.339175768309868,2.4840897647913487e-16
9,6670970.238966495,1.4526821939608028e-10,12.339175768309868,2.687000583824128e-16
10,6702474.395744251,1.5783576396092229e-10,12.339175768309868,2.9057376709650654e-16
11,6733933.57179167,1.7144169049804455e-10,12.339175768309868,3.141476123157988e-16
12,6765346.847360245,1.86167686023982e-10,12.339175768309868,3.395473805050749e-16
13,6796713.3100758605,2.0210153394871912e-10,12.339175768309868,3.669076856223108e-16
14,6828032.054954643,2.1933754386733982e-10,12.339175768309868,3.963725542859157e-16
15,6859302.184417827,2.379770098263793e-10,12.339175768309868,4.2809604739898544e-16
16,6890522.808305551,2.5812869882642475e-10,12.339175768309868,4.622429203521674e-16
17,6921693.0438895095,2.799093714234542e-10,12.339175768309868,4.989893240412043e-16
18,6952812.015884697,3.0344433639759647e-10,12.339175768309868,5.385235490552322e-16
19,6983878.856460079,3.288680415698569e-10,12.339175768309868,5.810468155180975e-16
20,7014892.70524824,3.563247029647921e-10,12.339175768309868,6.267741111968702e-16
21,7045852.709354058,3.85968974640989e-10,12.339175768309868,6.759350806307321e-16
22,7076758.023362423,4.179666616410733e-10,12.339175768309868,7.287749681785009e-16
23,7107607.809344949,4.5249547864975474e-10,12.339175768309868,7.855556180356282e-16
24,7138401.236865725,4.897458570921092e-10,12.339175768309868,8.465565344312926e-16
25,7169137.482986245,5.299218035552085e-10,12.339175768309868,9.120760053835386e-16
26,7199815.732269194,5.732418125748421e-10,12.339175768309868,9.824322935659618e-16
27,7230435.17678156,6.199398369955876e-10,12.339175768309868,1.0579648980230428e-15
28,7260995.0160966795,6.702663192874634e-10,12.339175768309868,1.1390358906639403e-15
29,7291494.457295439,7.244892873858045e-10,12.339175768309868,1.2260313316657008e-15
30,7321932.7149666725,7.82895518814034e-10,12.339175768309868,1.3193627681284258e-15
31,7352309.011206591,8.457917770505721e-10,12.339175768309868,1.419468820544778e-15
32,7382622.575617411,9.135061243141111e-10,12.339175768309868,1.5268168618787434e-15
33,7412872.645305211,9.86389315162936e-10,12.339175768309868,1.6419047942887112e-15
34,7443058.464876842,1.0648162755380869e-09,12.339175768309868,1.7652629287843345e-15
35,7473179.286436087,1.1491876721240528e-09,12.339175768309868,1.8974559733700574e-15
36,7503234.369579109,1.239931577157501e-09,12.339175768309868,2.0390851355056774e-15
37,7533222.981388944,1.3375052340826305e-09,12.339175768309868,2.1907903450027872e-15
38,7563144.39642935,1.4423969297334153e-09,12.339175768309868,2.353252603778628e-15
39,7592997.896737839,1.5551279790178391e-09,12.339175768309868,2.5271964692051e-15
40,7622782.771817998,1.6762548283871226e-09,12.339175768309868,2.7133926781195493e-15
41,7652498.31863106,1.8063712846970735e-09,12.339175768309868,2.912660918910486e-15
42,7682143.841586698,1.946110876406047e-09,12.339175768309868,3.125872759450174e-15
43,7711718.652533216,2.096149354408307e-09,12.339175768309868,3.3539547390226778e-15
44,7741222.070746905,2.257207340171834e-09,12.339175768309868,3.5978916327886946e-15
45,7770653.422920889,2.4300531292371455e-09,12.339175768309868,3.858729897738462e-15
46,7800012.043153093,2.6155056585383945e-09,12.339175768309868,4.13758130951143e-15
47,7829297.272933666,2.814437646432025e-09,12.339175768309868,4.435626799908244e-15
48,7858508.461131795,3.0277789147613728e-09,12.339175768309868,4.754120505386895e-15
49,7887644.963981704,3.2565199027471394e-09,12.339175768309868,5.0943940373188326e-15
50,7916706.14506825,3.5017153829794734e-09,12.339175768309868,5.457860985290585e-15
51,7945691.375311673,3.764488390290142e-09,12.339175768309868,5.846021665261306e-15
52,7974600.032951909,4.046034374813876e-09,12.339175768309868,6.2604681249414106e-15
53,8003431.5035322495,4.347625591096506e-09,12.339175768309868,6.7028894193278965e-15
54,8032185.1798823755,4.670615735684916e-09,12.339175768309868,7.175077169933231e-15
55,8060860.46210086,5.016444846233802e-09,12.339175768309868,7.678931421866928e-15
56,8089456.75753715,5.386644475791568e-09,12.339175768309868,8.216466813579143e-15
57,8117973.480772848,5.782843156581373e-09,12.339175768309868,8.789819074751674e-15
58,8146410.0536027,6.206772168276956e-09,12.339175768309868,9.401251868527441e-15
59,8174765.905014741,6.6602716264842705e-09,12.339175768309868,1.0053163995003507e-14
60,8203040.471170173,7.145296907881299e-09,12.339175768309868,1.0748096973673863e-14
61,8231233.195382632,7.663925429246151e-09,12.339175768309868,1.1488743023309758e-14
62,8259343.528096981,8.218363798405497e-09,12.339175768309868,1.2277953458585023e-14
63,8287370.926867532,8.810955355981107e-09,12.339175768309868,1.311874752362221e-14
64,8315314.856335905,9.444188127685883e-09,12.339175768309868,1.4014321683526869e-14
65,8343174.788208387,1.0120703207835328e-08,12.339175768309868,1.4968059395911874e-14
66,8370950.201232774,1.0843303595690613e-08,12.339175768309868,1.5983541385381645e-14
67,8398640.581174769,1.1614963507240204e-08,12.339175768309868,1.706455644495443e-14
68,8426245.420794072,1.2438838186060444e-08,12.339175768309868,1.821511278945165e-14
69,8453764.219819842,1.331827423796361e-08,12.339175768309868,1.9439449986965492e-14
70,8481196.484925885,1.4256820515267657e-08,12.339175768309868,2.0742051495658865e-14
71,8508541.729705393,1.5258239577677708e-08,12.339175768309868,2.21276578343192e-14
72,8535799.474645222,1.6326519757982613e-08,12.339175768309868,2.360128041631444e-14
73,8562969.24709987,1.7465887862028973e-08,12.339175768309866,2.516821607787e-14
74,8590050.581265008,1.8680822533743412e-08,12.339175768309866,2.683406233290402e-14
75,8617043.018150683,1.997606831733423e-08,12.339175768309868,2.860473338802621e-14
76,8643946.105554096,2.135665045022133e-08,12.339175768309868,3.04864769527323e-14
77,8670759.39803207,2.2827890421713613e-08,12.339175768309868,3.248589188130068e-14
78,8697482.456873171,2.4395422333978298e-08,12.339175768309868,3.460994668442594e-14
79,8724114.850069482,2.6065210103447597e-08,12.33917576830987,3.686599895023215e-14
80,8750656.152288008,2.7843565542436963e-08,12.339175768309866,3.926181571592827e-14
81,8777105.944841845,2.9737167362492214e-08,12.33917576830987,4.1805594833121365e-14
82,8803463.81566095,3.175308114273849e-08,12.339175768309868,4.4505987371544564e-14
83,8829729.35926265,3.389878030836576e-08,12.339175768309868,4.7372121107818e-14
84,8855902.17672184,3.6182168166305866e-08,12.339175768309868,5.0413625147772126e-14
85,8881981.875640955,3.861160104714209e-08,12.339175768309868,5.3640655732835797e-14
86,8907968.070119517,4.119591260436604e-08,12.339175768309868,5.70639232830551e-14
87,8933860.380723547,4.394443932423942e-08,12.33917576830987,6.069472073143176e-14
88,8959658.434454706,4.6867047301748715e-08,12.339175768309868,6.454495320648527e-14
89,8985361.864719057,4.997416034043751e-08,12.339175768309868,6.862716912221308e-14
90,9010970.311295709,5.32767894363189e-08,12.339175768309868,7.295459273702183e-14
91,9036483.420305135,5.678656370852816e-08,12.339175768309868,7.754115824562589e-14
92,9061900.844177378,6.051576284196917e-08,12.339175768309868,8.24015454704744e-14
93,9087222.241619833,6.447735110986382e-08,12.339175768309866,8.7551217221889e-14
94,9112447.277584972,6.868501304689359e-08,12.339175768309868,9.300645839883418e-14
95,9137575.623237805,7.315319084646925e-08,12.339175768309866,9.878441690504508e-14
96,9162606.95592318,7.789712355865421e-08,12.339175768309868,1.0490314645818411e-13
97,9187540.95913275,8.293288816832678e-08,12.339175768309868,1.1138165137270482e-13
98,9212377.322471889,8.827744263635569e-08,12.339175768309868,1.1823993340023207e-13
99,9237115.741626432,9.39486709898792e-08,12.339175768309868,1.254990407145335e-13
100,9261755.918329077,9.996543055114709e-08,12.339175768309866,1.3318111913144786e-13
101,9286297.560325783,1.0634760139799127e-07,12.339175768309868,1.4130946565769257e-13
102,9310740.38134198,1.1311613815257151e-07,12.33917576830987,1.4990858446595708e-13
103,9335084.101048492,1.202931241988941e-07,12.339175768309866,1.590042453974859e-13
104,9359328.445027458,1.2790182843346947e-07,12.33917576830987,1.6862354509711436e-13
105,9383473.14473808,1.3596676465757318e-07,12.339175768309868,1.7879497088975232e-13
106,9407517.93748215,1.4451375372372395e-07,12.339175768309868,1.8954846751134968e-13
107,9431462.566369517,1.5356998855334712e-07,12.339175768309868,2.0091550681163387e-13
108,9455306.780283427,1.631641021471074e-07,12.33917576830987,2.1292916055033323e-13
109,9479050.333845697,1.7332623871393087e-07,12.339175768309868,2.2562417641299149e-13
110,9502692.987381872,1.8408812804966508e-07,12.339175768309868,2.390370573773299e-13
111,9526234.506886113,1.9548316330115345e-07,12.339175768309868,2.532061445657828e-13
112,9549674.663986135,2.0754648225667806e-07,12.33917576830987,2.681717037248877e-13
113,9573013.235907976,2.2031505230901641e-07,12.339175768309868,2.8397601547737683e-13
114,9596250.005440716,2.3382775924278065e-07,12.339175768309868,3.0066346949807353e-13
115,9619384.760900993,2.4812550000336925e-07,12.339175768309868,3.1828066277022226e-13
116,9642417.296097657,2.632512796106961e-07,12.339175768309868,3.368765020845421e-13
117,9665347.410296096,2.792503123868626e-07,12.33917576830987,3.5650231094914956e-13
118,9688174.908182686,2.9617012767312117e-07,12.339175768309868,3.7721194108446675e-13
119,9710899.599829119,3.140606802179748e-07,12.33917576830987,3.9906188868359236e-13
120,9733521.300656574,3.3297446542471883e-07,12.33917576830987,4.221114156248341e-13
121,9756039.831399992,3.529666396537582e-07,12.33917576830987,4.464226758299762e-13
122,9778455.018072223,3.740951457818713e-07,12.339175768309868,4.720608469684449e-13
123,9800766.691928089,3.964208442280176e-07,12.339175768309868,4.99094267714784e-13
124,9822974.689428493,4.2000764966267846e-07,12.339175768309866,5.27594580773986e-13
125,9845078.852204412,4.4492267362549704e-07,12.339175768309868,5.576368818967977e-13
126,9867079.027020907,4.712363732839419e-07,12.339175768309868,5.892998751148158e-13
127,9888975.065741153,4.990227065739203e-07,12.339175768309868,6.22666034433148e-13
128,9910766.825290293,5.283592939717982e-07,12.33917576830987,6.578217722267078e-13
129,9932454.167619452,5.593275871558381e-07,12.339175768309868,6.948576145944285e-13
130,9954036.959669592,5.920130448243846e-07,12.339175768309868,7.338683839348398e-13
131,9975515.073335532,6.265053159469985e-07,12.339175768309868,7.749533890148931e-13
132,9996888.38542973,6.62898430734641e-07,12.339175768309868,8.182166228136703e-13
133,10018156.777646245,7.012909996246024e-07,12.339175768309868,8.637669684317712e-13
134,10039320.136524713,7.417864205861718e-07,12.339175768309868,9.117184133672508e-13
135,10060378.35341416,7.844930950633516e-07,12.339175768309868,9.621902724689323e-13
136,10081331.324436994,8.295246528816886e-07,12.339175768309868,1.0153074198883164e-12
137,10102178.950452972,8.770001864575614e-07,12.339175768309868,1.0712005303623288e-12
138,10122921.137023082,9.270444946591144e-07,12.339175768309868,1.1300063301695095e-12
139,10143557.794373652,9.797883366805943e-07,12.339175768309868,1.1918678581146039e-12
140,10164088.83736028,1.0353686963028694e-06,12.339175768309868,1.2569347369070124e-12
141,10184514.185431892,1.0939290569263376e-06,12.339175768309868,1.3253634553117487e-12
142,10204833.76259486,1.1556196877744341e-06,12.339175768309866,1.3973176614630386e-12
143,10225047.497377079,1.220597941679391e-06,12.339175768309868,1.4729684677438146e-12
144,10245155.322792178,1.289028564875577e-06,12.339175768309868,1.5524947676476147e-12
145,10265157.176303688,1.3610840192391495e-06,12.339175768309868,1.6360835650523365e-12
146,10285052.999789272,1.4369448174275746e-06,12.339175768309868,1.7239303163497609e-12
147,10304842.739505066,1.5167998713867812e-06,12.339175768309868,1.8162392858884338e-12
148,10324526.346050069,1.6008468547093354e-06,12.339175768309868,1.9132239152028123e-12
149,10344103.77433044,1.6892925793417062e-06,12.33917576830987,2.0151072065156353e-12
150,10363574.983524065,1.7823533871557788e-06,12.339175768309868,2.122122121017269e-12
151,10382939.937045107,1.8802555569150007e-06,12.33917576830987,2.23451199244039e-12
152,10402198.602508517,1.9832357271832086e-06,12.339175768309868,2.3525309564656924e-12
153,10421350.951694753,2.091541335740953e-06,12.339175768309868,2.476444396510441e-12
154,10440396.960514592,2.2054310760923505e-06,12.339175768309868,2.6065294064695204e-12
155,10459336.608973807,2.325175371663174e-06,12.33917576830987,2.7430752709958018e-12
156,10478169.881138124,2.4510568683100797e-06,12.339175768309868,2.8863839639252103e-12
157,10496896.765098277,2.583370945780209e-06,12.339175768309866,3.036770665470906e-12
158,10515517.252934903,2.7224262487791114e-06,12.339175768309868,3.1945642988289717e-12
159,10534031.340683801,2.8685452383269235e-06,12.339175768309866,3.3601080868596108e-12
160,10552439.02830109,3.0220647641016833e-06,12.339175768309868,3.533760129526198e-12
161,10570740.319628606,3.183336658491529e-06,12.339175768309868,3.715894002796887e-12
162,10588935.22235922,3.35272835309829e-06,12.339175768309868,3.906899379733729e-12
163,10607023.748002352,3.5306235184582407e-06,12.339175768309868,4.107182674516926e-12
164,10625005.911849642,3.7174227277683467e-06,12.33917576830987,4.317167710173852e-12
165,10642881.732940573,3.913544145430143e-06,12.339175768309868,4.5372964108058655e-12
166,10660651.234028291,4.119424241247484e-06,12.339175768309868,4.768029519129311e-12
167,10678314.441545503,4.335518531139634e-06,12.339175768309868,5.00984734017196e-12
168,10695871.38557052,4.562302345256323e-06,12.33917576830987,5.263250511990643e-12
169,10713322.099793289,4.800271624406917e-06,12.339175768309868,5.528760804300856e-12
170,10730666.621481681,5.049943745744502e-06,12.339175768309868,5.806921945937271e-12
171,10747904.991447816,5.311858378670769e-06,12.339175768309868,6.098300482088546e-12
172,10765037.254014492,5.586578371957193e-06,12.339175768309868,6.4034866622789856e-12
173,10782063.45698173,5.874690673106885e-06,12.339175768309868,6.723095360098036e-12
174,10798983.6515935,6.176807281009817e-06,12.339175768309868,7.057767025706139e-12
175,10815797.89250447,6.493566232975494e-06,12.339175768309866,7.4081686721767e-12
176,10832506.237746928,6.825632627257892e-06,12.339175768309868,7.774994896763931e-12
177,10849108.74869784,7.173699682219045e-06,12.339175768309866,8.158968938217502e-12
178,10865605.490046017,7.538489833308952e-06,12.339175768309868,8.560843771295635e-12
179,10881996.529759329,7.920755869076442e-06,12.33917576830987,8.981403239665228e-12
180,10898281.939052207,8.32128210745442e-06,12.339175768309868,9.421463228405123e-12
181,10914461.79235312,8.740885613602068e-06,12.339175768309868,9.881872877368309e-12
182,10930536.167272275,9.180417460620619e-06,12.339175768309868,1.0363515836691805e-11
183,10946505.144569384,9.640764034495267e-06,12.339175768309868,1.0867311565778915e-11
184,10962368.808121633,1.012284838465427e-05,12.339175768309868,1.1394216677116447e-11
185,10978127.244891722,1.0627631621573657e-05,12.339175768309866,1.1945226326326734e-11
186,10993780.544896057,1.115611436289604e-05,12.339175768309868,1.2521375649894056e-11
187,11009328.801173085,1.1709338229570012e-05,12.339175768309868,1.3123741252042485e-11
188,11024772.109751813,1.2288387393561398e-05,12.339175768309868,1.3753442742287275e-11
189,11040110.569620335,1.2894390178723512e-05,12.339175768309868,1.441164432521707e-11
190,11055344.282694623,1.3528520716463324e-05,12.33917576830987,1.509955644411417e-11
191,11070473.35378747,1.419200065787825e-05,12.339175768309868,1.5818437480057447e-11
192,11085497.890577419,1.4886100944086251e-05,12.339175768309866,1.656959550820104e-11
193,11100418.00357799,1.5612143636517155e-05,12.339175768309868,1.7354390112966174e-11
194,11115233.806107024,1.6371503808978924e-05,12.339175768309866,1.8174234263930187e-11
195,11129945.414256064,1.716561150336085e-05,12.339175768309868,1.903059625424487e-11
196,11144552.946860071,1.7995953750884625e-05,12.339175768309868,1.9925001703464807e-11
197,11159056.52546708,1.8864076660866123e-05,12.339175768309868,2.08590356267199e-11
198,11173456.274308154,1.9771587578993054e-05,12.339175768309868,2.1834344572206548e-11
199,11187752.320267407,2.0720157317191465e-05,12.339175768309868,2.2852638829042863e-11
200,11201944.79285225,2.171152245719002e-05,12.33917576830987,2.3915694707567028e-11
201,11216033.82416367,2.2747487729955884e-05,12.339175768309868,2.5025356894225234e-11
202,11230019.548866762,2.382992847323048e-05,12.339175768309868,2.6183540883249407e-11
203,11243902.104161413,2.496079316944525e-05,12.339175768309868,2.73922354873779e-11
204,11257681.629753036,2.6142106066359354e-05,12.339175768309868,2.8653505429934965e-11
205,11271358.267823586,2.737596988281956e-05,12.339175768309868,2.996949402064334e-11
206,11284932.163002621,2.8664568602102606e-05,12.339175768309868,3.1342425917606126e-11
207,11298403.462338576,3.0010170355358545e-05,12.339175768309866,3.277460997795217e-11
208,11311772.315270223,3.1415130397744756e-05,12.339175768309868,3.426844219971261e-11
209,11325038.873598153,3.288189417989148e-05,12.339175768309866,3.58264087575478e-11
210,11338203.291456588,3.441300051741991e-05,12.339175768309868,3.7451089135025725e-11
211,11351265.7252852,3.601108486128532e-05,12.339175768309868,3.9145159356205445e-11
212,11364226.333801188,3.767888267180066e-05,12.339175768309868,4.0911395319364555e-11
213,11377085.27797148,3.941923289924928e-05,12.339175768309868,4.2752676235762955e-11
214,11389842.720985036,4.1235081574083406e-05,12.339175768309868,4.467198817642735e-11
215,11402498.828225382,4.312948550976158e-05,12.339175768309868,4.667242772999674e-11
216,11415053.767243287,4.5105616121359446e-05,12.339175768309868,4.875720577475432e-11
217,11427507.707729608,4.716676336316788e-05,12.339175768309868,5.092965136805294e-11
218,11439860.821488233,4.9316339788551855e-05,12.339175768309868,5.319321575640209e-11
219,11452113.2824092,5.1557884735444894e-05,12.339175768309866,5.55514765095897e-11
220,11464265.266442116,5.389506864091053e-05,12.339175768309868,5.800814178226936e-11
221,11476316.951569473,5.633169748829887e-05,12.339175768309868,6.056705470654685e-11
222,11488268.517780377,5.8871717390602393e-05,12.339175768309868,6.323219791917427e-11
223,11500120.147044288,6.151921931369628e-05,12.339175768309868,6.600769822704863e-11
224,11511872.02328494,6.427844394324399e-05,12.339175768309868,6.889783141480887e-11
225,11523524.332354464,6.715378669911755e-05,12.339175768309868,7.190702719839689e-11
226,11535077.2620077,7.014980290130361e-05,12.33917576830987,7.503987432857656e-11
227,11546531.001876516,7.327121309130451e-05,12.339175768309868,7.830112584844401e-11
228,11557885.743444469,7.652290851320378e-05,12.339175768309868,8.169570450912925e-11
229,11569141.680021482,7.990995675858158e-05,12.339175768309868,8.522870834790816e-11
230,11580299.00671887,8.343760757964138e-05,12.33917576830987,8.890541643312619e-11
231,11591357.920424245,8.71112988749347e-05,12.339175768309868,9.273129478036618e-11
232,11602318.619776858,9.09366628522157e-05,12.339175768309868,9.671200244443939e-11
233,11613181.3051429,9.491953237304523e-05,12.339175768309868,1.0085339779187852e-10
234,11623946.178591173,9.906594748385394e-05,12.33917576830987,1.0516154495870033e-10
235,11634613.44386865,0.00010338216213829913,12.33917576830987,1.0964272049834543e-10
236,11645183.306376394,0.00010787465111583737,12.339175768309868,1.1430342022478753e-10
237,11655655.97314569,0.00011255011714156286,12.339175768309868,1.1915036625594564e-10
238,11666031.652814051,0.00011741549821243376,12.339175768309868,1.241905142626126e-10
239,11676310.555601707,0.00012247797513518664,12.339175768309868,1.2943106092829285e-10
240,11686492.893288063,0.00012774497928126827,12.339175768309868,1.348794516253866e-10
241,11696578.879188366,0.00013322420056429983,12.339175768309868,1.405433883133469e-10
242,11706568.728130527,0.00013892359564567568,12.33917576830987,1.4643083766453472e-10
243,11716462.656432165,0.00014485139637401454,12.339175768309868,1.5255003942361913e-10
244,11726260.881877657,0.0001510161184643096,12.339175768309868,1.589095150065128e-10
245,11735963.623695545,0.00015742657042275477,12.339175768309868,1.65518076344966e-10
246,11745571.102535924,0.00016409186272334125,12.339175768309868,1.7238483498307944e-10
247,11755083.540448155,0.00017102141724242685,12.339175768309868,1.795192114321046e-10
248,11764501.160858542,0.00017822497695766724,12.33917576830987,1.8693094479010994e-10
249,11773824.188548353,0.00018571261591775548,12.339175768309868,1.9463010263314795e-10
250,11783052.849631893,0.000193494749489612,12.339175768309866,2.0262709118477704e-10
251,11792187.37153481,0.00020158214488976588,12.339175768309868,2.1093266577089562e-10
252,11801227.982972415,0.0002099859320068168,12.339175768309868,2.1955794156701482e-10
253,11810174.913928334,0.0002187176145220265,12.339175768309868,2.2851440464526088e-10
254,11819028.395633228,0.00022778908133519097,12.339175768309868,2.3781392332852274e-10
255,11827788.660543665,0.0002372126183031243,12.339175768309868,2.474687598593522e-10
256,11836455.942321159,0.00024700092029821875,12.339175768309868,2.574915823913707e-10
257,11845030.475811392,0.00025716710359469737,12.339175768309868,2.678954773111088e-10
258,11853512.497023555,0.0002677247185903119,12.339175768309866,2.7869396189835475e-10
259,11861902.243109869,0.0002786877628714206,12.339175768309868,2.899009973332882e-10
260,11870199.952345245,0.00029007069462953604,12.339175768309868,3.015310020588506e-10
261,11878405.864107111,0.0003018884464375113,12.33917576830987,3.1359886550689607e-10
262,11886520.218855351,0.00031415643939385675,12.339175768309868,3.261199621970169e-10
263,11894543.258112513,0.00032689059764366924,12.339175768309868,3.391101662169381e-10
264,11902475.22444398,0.0003401073632849189,12.339175768309868,3.525858660936702e-10
265,11910316.361438563,0.00035382371166900277,12.339175768309868,3.665639800647823e-10
266,11918066.913688896,0.0003680571671046289,12.339175768309868,3.810619717593543e-10
267,11925727.126772312,0.0003828258189741931,12.33917576830987,3.9609786629825595e-10
268,11933297.247231694,0.00039814833827219847,12.339175768309868,4.116902668238517e-10
269,11940777.522556536,0.0004140439945751711,12.339175768309868,4.2785837146912507e-10
270,11948168.20116407,0.0004305326734528975,12.33917576830987,4.446219907766353e-10
271,11955469.532380698,0.00044763489433098083,12.339175768309868,4.6200156557790167e-10
272,11962681.766423425,0.0004653718288147319,12.339175768309868,4.800181853438711e-10
273,11969805.154381495,0.00048376531948486986,12.339175768309866,4.986936070176016e-10
274,11976839.94819824,0.0005028378991754388,12.339175768309868,5.180502743402542e-10
275,11983786.400652964,0.0005226128107446748,12.339175768309868,5.381113376818562e-10
276,11990644.765343022,0.000543114027349761,12.339175768309868,5.589006743885169e-10
277,11997415.296666129,0.0005643662732365906,12.339175768309868,5.80442909658e-10
278,12004098.249802649,0.0005863950450557007,12.33917576830987,6.027634379556358e-10
279,12010693.880698154,0.0006092266337161231,12.339175768309868,6.258884449831646e-10
280,12017202.44604611,0.0006328881467886708,12.339175768309868,6.49844930212915e-10
281,12023624.20327069,0.0006574075314706426,12.339175768309868,6.746607300002236e-10
282,12029959.410509707,0.0006828135981241498,12.339175768309866,7.003645412872594e-10
283,12036208.326597743,0.00070913604440033,12.339175768309868,7.269859459115107e-10
284,12042371.211049402,0.0007364054799620797,12.339175768309868,7.545554355326054e-10
285,12048448.324042661,0.0007646534518180255,12.339175768309868,7.831044371912657e-10
286,12054439.92640244,0.0007939124702808879,12.339175768309868,8.126653395146639e-10
287,12060346.279584287,0.0008242160355632724,12.339175768309868,8.432715195823809e-10
288,12066167.645658115,0.000855598665024558,12.339175768309868,8.749573704678521e-10
289,12071904.287292244,0.0008880959210825167,12.339175768309868,9.077583294701727e-10
290,12077556.46773747,0.0009217444398034474,12.339175768309868,9.417109070513583e-10
291,12083124.450811232,0.0009565819601853179,12.339175768309868,9.76852716494911e-10
292,12088608.500882126,0.0009926473541480246,12.339175768309868,1.013222504301171e-09
293,12094008.882854225,0.0010299806572455846,12.339175768309868,1.0508601813357687e-09
294,12099325.86215194,0.0010686231001151448,12.339175768309868,1.0898068547475064e-09
295,12104559.70470458,0.0011086171406779375,12.339175768309868,1.1301048606724215e-09
296,12109710.676931469,0.0011500064971075486,12.339175768309868,1.1717977977409509e-09
297,12114779.045726862,0.0011928361815813718,12.339175768309868,1.2149305614057979e-09
298,12119765.078445211,0.001237152534830773,12.339175768309868,1.2595493791077128e-09
299,12124669.042886442,0.0012830032615065452,12.339175768309868,1.3057018462975924e-09
300,12129491.207281474,0.001330437466375925,12.339175768309868,1.3534369633330022e-09
301,12134231.84027773,0.0013795056913677673,12.339175768309868,1.4028051732676559e-09
302,12138891.21092489,0.001430259953483146,12.339175768309868,1.453858400553091e-09
303,12143469.588660797,0.0014827537835883245,12.339175768309868,1.5066500906715358e-09
304,12147967.243297352,0.0015370422661078777,12.339175768309868,1.5612352507198949e-09
305,12152384.445006685,0.0015931820796356072,12.33917576830987,1.6176704909646557e-09
306,12156721.464307396,0.0016512315384814473,12.33917576830987,1.6760140673882023e-09
307,12160978.572050916,0.001711250635172688,12.33917576830987,1.736325925247202e-09
308,12165156.039407972,0.0017733010839281601,12.339175768309868,1.798667743664128e-09
309,12169254.137855321,0.001837446365124479,12.339175768309868,1.8631029812734912e-09
310,12173273.139162388,0.0019037517707733071,12.33917576830987,1.929696922944369e-09
311,12177213.315378193,0.0019722844510296116,12.339175768309868,1.9985167276018185e-09
312,12181074.938818382,0.0020431134617502917,12.339175768309866,2.069631477169321e-09
313,12184858.282052366,0.002116309813123811,12.339175768309868,2.1431122266557264e-09
314,12188563.617890486,0.002191946519390763,12.339175768309868,2.2190320554095562e-09
315,12192191.219371501,0.0022700986496768157,12.339175768309868,2.297466119565099e-09
316,12195741.359750064,0.002350843379958338,12.339175768309868,2.378491705703741e-09
317,12199214.312484285,0.002434260046182798,12.339175768309868,2.462188285755828e-09
318,12202610.351223549,0.00252043019856527,12.339175768309868,2.5486375731676647e-09
319,12205929.749796376,0.002609437657083178,12.339175768309866,2.637923580359224e-09
320,12209172.782198356,0.0027013685681917064,12.339175768309868,2.730132677498501e-09
321,12212339.722580291,0.0027963114627824466,12.339175768309868,2.8253536526186684e-09
322,12215430.845236482,0.00289435731540871,12.339175768309868,2.923677773105199e-09
323,12218446.424592936,0.002995599604799947,12.339175768309868,3.025198848579276e-09
324,12221386.735195944,0.0031001343756903,12.339175768309868,3.1300132952063794e-09
325,12224252.051700618,0.003208060301984025,12.339175768309868,3.238220201456918e-09
326,12227042.648859547,0.0033194787512833583,12.339175768309868,3.3499213953486567e-09
327,12229758.801511738,0.003434493850802418,12.339175768309868,3.4652215131987666e-09
328,12232400.784571344,0.0035532125546932467,12.339175768309868,3.5842280699161793e-09
329,12234968.873016877,0.003675744712808749,12.339175768309868,3.7070515308633647e-09
330,12237463.341880245,0.003802203140928542,12.339175768309868,3.833805385318412e-09
331,12239884.466236107,0.003932703692474291,12.339175768309868,3.96460622156868e-09
332,12242232.52119115,0.004067365331740083,12.339175768309868,4.0995738036666254e-09
333,12244507.78187368,0.004206310208665974,12.339175768309868,4.2388311498809305e-09
334,12246710.523423167,0.004349663735180722,12.33917576830987,4.3825046128742915e-09
335,12248841.020979913,0.004497554663142407,12.339175768309868,4.530723961641893e-09
336,12250899.549674971,0.004650115163904101,12.339175768309868,4.683622465243221e-09
337,12252886.38461996,0.0048074809095338894,12.339175768309868,4.841336978362323e-09
338,12254801.800897192,0.004969791155716807,12.339175768309868,5.004008028729764e-09
339,12256646.073549775,0.005137188826369315,12.339175768309868,5.17177990644302e-09
340,12258419.477571834,0.005309820599994283,12.339175768309868,5.34480075521939e-09
341,12260122.287898926,0.0054878369978078444,12.339175768309868,5.523222665619075e-09
342,12261754.779398423,0.005671392473667544,12.339175768309868,5.707201770274422e-09
